iter	Passed	Remaining
0	141	141399
1	144	72054
2	148	49299
3	151	37697
4	154	30773
5	157	26109
6	160	22762
7	163	20285
8	166	18344
9	169	16772
10	172	15475
11	174	14405
12	177	13506
13	181	12751
14	183	12078
15	186	11473
16	189	10955
17	192	10490
18	196	10135
19	199	9758
20	202	9422
21	205	9114
22	207	8827
23	210	8558
24	213	8310
25	215	8077
26	218	7864
27	220	7668
28	223	7493
29	226	7329
30	229	7171
31	231	7016
32	234	6872
33	237	6739
34	240	6625
35	242	6505
36	245	6394
37	248	6285
38	250	6182
39	253	6091
40	255	5984
41	257	5878
42	259	5779
43	261	5682
44	263	5587
45	264	5492
46	266	5400
47	267	5310
48	269	5231
49	270	5148
50	272	5065
51	273	4984
52	274	4905
53	275	4829
54	276	4756
55	278	4687
56	279	4618
57	280	4551
58	281	4485
59	282	4421
60	283	4361
61	284	4301
62	285	4243
63	286	4186
64	287	4130
65	288	4075
66	288	4022
67	289	3965
68	290	3915
69	290	3866
70	291	3818
71	292	3772
72	293	3727
73	294	3684
74	295	3640
75	295	3598
76	296	3556
77	297	3515
78	298	3477
79	299	3439
80	299	3401
81	300	3364
82	301	3328
83	302	3293
84	302	3257
85	303	3223
86	303	3188
87	304	3156
88	305	3125
89	306	3095
90	306	3065
91	307	3036
92	308	3010
93	309	2983
94	310	2956
95	311	2931
96	312	2905
97	314	2898
98	316	2879
99	317	2856
100	318	2837
101	319	2815
102	321	2797
103	322	2775
104	323	2753
105	324	2732
106	324	2711
107	325	2689
108	326	2667
109	327	2649
110	328	2631
111	329	2614
112	330	2595
113	331	2576
114	332	2557
115	332	2537
116	333	2518
117	334	2500
118	335	2481
119	336	2464
120	336	2446
121	337	2429
122	337	2409
123	338	2392
124	339	2375
125	340	2359
126	340	2343
127	341	2325
128	342	2312
129	343	2298
130	344	2286
131	345	2272
132	346	2258
133	347	2243
134	347	2229
135	348	2215
136	349	2204
137	350	2189
138	351	2175
139	351	2162
140	352	2149
141	353	2136
142	354	2123
143	355	2110
144	355	2098
145	356	2085
146	357	2075
147	358	2064
148	359	2052
149	360	2041
150	360	2029
151	361	2017
152	362	2006
153	363	1995
154	363	1984
155	364	1973
156	365	1962
157	366	1951
158	366	1940
159	367	1930
160	368	1919
161	369	1909
162	369	1899
163	370	1889
164	371	1879
165	372	1872
166	373	1863
167	374	1853
168	375	1844
169	375	1834
170	376	1826
171	377	1816
172	378	1807
173	378	1798
174	379	1789
175	380	1781
176	381	1772
177	381	1763
178	382	1754
179	383	1746
180	383	1736
181	384	1727
182	385	1719
183	385	1711
184	387	1705
185	388	1698
186	388	1691
187	389	1683
188	390	1675
189	391	1667
190	391	1660
191	392	1652
192	393	1644
193	394	1637
194	394	1629
195	395	1622
196	396	1614
197	396	1607
198	397	1599
199	398	1592
200	398	1585
201	399	1578
202	400	1571
203	401	1565
204	402	1559
205	402	1553
206	403	1546
207	404	1540
208	405	1533
209	405	1526
210	406	1520
211	407	1513
212	407	1507
213	408	1500
214	409	1494
215	410	1488
216	410	1482
217	411	1475
218	412	1469
219	412	1463
220	413	1457
221	414	1451
222	414	1445
223	415	1439
224	416	1434
225	417	1429
226	418	1424
227	419	1418
228	419	1413
229	420	1407
230	421	1402
231	421	1396
232	422	1391
233	423	1385
234	423	1380
235	424	1374
236	425	1369
237	426	1364
238	426	1359
239	427	1354
240	428	1349
241	429	1344
242	430	1339
243	430	1335
244	431	1331
245	432	1326
246	433	1322
247	434	1317
248	435	1312
249	435	1307
250	436	1302
251	437	1297
252	437	1292
253	438	1288
254	439	1283
255	439	1278
256	440	1274
257	441	1269
258	442	1264
259	442	1260
260	443	1255
261	444	1250
262	444	1246
