iter	Passed	Remaining
0	1	1918
1	3	1598
2	4	1468
3	5	1364
4	6	1310
5	7	1261
6	8	1228
7	9	1236
8	11	1252
9	12	1258
10	13	1245
11	14	1210
12	15	1204
13	16	1187
14	17	1173
15	18	1159
16	19	1155
17	21	1171
18	22	1174
19	23	1173
20	24	1161
21	25	1150
22	26	1137
23	27	1129
24	28	1115
25	29	1104
26	30	1097
27	31	1091
28	32	1085
29	33	1082
30	35	1110
31	37	1121
32	38	1117
33	39	1113
34	40	1107
35	41	1103
36	42	1102
37	43	1096
38	44	1094
39	45	1092
40	46	1093
41	47	1091
42	49	1091
43	50	1094
44	51	1093
45	52	1090
46	53	1086
47	55	1100
48	56	1097
49	57	1091
50	58	1088
51	59	1090
52	60	1088
53	61	1084
54	63	1091
55	66	1125
56	68	1125
57	69	1122
58	70	1120
59	71	1115
60	72	1110
61	73	1112
62	74	1110
63	76	1112
64	77	1110
65	78	1105
66	79	1101
67	80	1097
68	81	1093
69	82	1090
70	82	1084
71	83	1082
72	85	1079
73	85	1075
74	86	1069
75	87	1067
76	88	1063
77	89	1061
78	90	1060
79	91	1055
80	92	1050
81	93	1045
82	93	1036
83	94	1030
84	95	1029
85	96	1026
86	97	1022
87	98	1018
88	99	1015
89	100	1012
90	100	1008
91	101	1005
92	102	1003
93	103	1000
94	104	996
95	105	995
96	106	992
97	107	988
98	108	985
99	109	983
100	110	983
101	111	980
102	112	979
103	113	975
104	114	972
105	114	968
106	115	964
107	116	963
108	117	961
109	118	959
110	119	956
111	120	954
112	121	951
113	122	952
114	123	950
115	124	950
116	125	946
117	126	942
118	126	938
119	127	935
120	128	931
121	128	927
122	129	924
123	130	921
124	131	917
125	132	916
126	132	913
127	133	911
128	134	910
129	135	909
130	136	907
131	137	905
132	138	902
133	139	901
134	140	902
135	141	901
136	142	899
137	143	898
138	145	898
139	148	909
140	149	908
141	150	908
142	151	909
143	152	907
144	153	905
145	154	904
146	155	903
147	157	907
148	158	906
149	159	905
150	160	904
151	163	910
152	164	909
153	165	908
154	166	909
155	167	906
156	168	904
157	169	902
158	170	900
159	171	897
160	171	894
161	172	891
162	173	889
163	173	886
164	174	884
165	175	883
166	177	884
167	178	881
168	178	879
169	179	877
170	180	876
171	181	874
172	182	872
173	183	871
174	184	869
175	185	867
176	186	865
177	187	863
178	187	862
179	188	860
180	190	860
181	191	862
182	193	863
183	194	863
184	195	862
185	197	862
186	198	861
187	199	859
188	200	858
189	201	858
190	203	861
191	205	864
192	207	867
193	211	877
194	214	883
195	217	890
196	220	898
197	222	899
198	224	903
199	225	902
200	226	901
201	228	900
202	229	899
203	230	899
204	231	898
205	233	898
206	234	900
207	236	901
208	238	901
209	240	904
210	241	904
211	243	903
212	244	904
213	246	905
214	248	908
215	252	915
216	254	917
217	256	918
218	257	919
219	259	918
220	260	918
221	265	928
222	266	928
223	268	928
224	269	927
225	270	927
226	273	931
227	274	930
228	276	930
229	280	938
230	281	936
231	282	935
232	283	934
233	284	932
234	286	931
235	287	931
236	288	929
237	289	927
238	290	925
239	292	925
240	293	925
241	295	925
242	297	926
243	298	925
244	299	924
245	301	922
246	302	920
247	303	921
248	305	920
249	308	926
250	310	925
251	313	930
252	314	929
253	315	927
254	317	926
255	319	927
256	320	925
257	321	923
258	324	928
259	326	928
260	327	927
261	328	926
262	330	925
263	331	923
264	332	921
265	333	919
266	334	917
267	334	914
268	336	914
269	338	914
270	339	912
271	340	910
272	341	908
273	343	908
274	344	907
275	345	906
276	346	905
277	347	903
278	349	902
279	350	900
280	351	899
281	353	899
282	354	897
283	355	895
284	356	893
285	357	892
286	358	890
287	359	889
288	360	887
289	361	885
290	362	883
291	363	882
292	365	881
293	366	879
294	367	877
295	368	876
296	369	874
297	370	873
298	372	872
299	373	870
300	374	868
301	374	866
302	375	864
303	376	862
304	378	861
305	380	861
306	381	861
307	382	859
308	383	858
309	384	856
310	385	854
311	386	852
312	387	850
313	388	848
314	389	847
315	390	845
316	391	843
317	392	841
318	393	839
319	394	838
320	395	837
321	397	836
322	398	834
323	399	832
324	400	831
325	401	829
326	402	828
327	403	826
328	404	825
329	405	823
330	406	821
331	407	820
332	408	819
333	410	818
334	411	816
335	412	814
336	413	812
337	414	810
338	414	809
339	416	807
340	417	805
341	417	804
342	418	802
343	419	800
344	420	798
345	421	797
346	422	795
347	424	794
348	425	793
349	426	791
350	427	789
351	428	788
352	429	786
353	430	784
354	430	783
355	432	781
356	432	779
357	433	778
358	434	776
359	435	775
360	437	774
361	438	773
362	440	772
363	441	772
364	443	770
365	444	769
366	445	768
367	447	767
368	448	767
369	449	765
370	450	764
371	452	763
372	454	763
373	455	762
374	457	762
375	459	762
376	464	767
377	465	766
378	472	774
379	475	776
380	477	775
381	479	775
382	481	774
383	484	777
384	487	778
385	489	778
386	497	787
387	502	793
388	504	792
389	507	794
390	509	794
391	513	796
392	516	797
393	517	796
394	518	794
395	519	793
396	521	791
397	522	790
398	523	788
399	524	787
400	526	786
401	527	785
402	531	787
403	533	786
404	536	788
405	537	787
406	539	785
407	540	784
408	541	782
409	542	781
410	546	782
411	548	782
412	549	781
413	551	780
414	553	779
415	554	778
416	557	779
417	563	784
418	564	783
419	566	781
420	567	780
421	568	779
422	571	779
423	576	783
424	580	784
425	582	784
426	583	783
427	585	782
428	586	780
429	590	783
430	592	782
431	595	782
432	596	781
433	598	780
434	599	779
435	601	777
436	602	776
437	607	778
438	609	778
439	610	777
440	612	776
441	614	775
442	616	775
443	618	774
444	624	778
445	626	778
446	628	777
447	629	776
448	631	774
449	638	780
450	640	779
451	643	779
452	644	778
453	646	776
454	647	775
455	650	775
456	653	776
457	654	775
458	656	773
459	657	772
460	660	772
461	665	774
462	669	776
463	671	776
464	674	775
465	684	784
466	689	787
467	691	785
468	692	784
469	696	784
470	698	784
471	699	782
472	701	781
473	702	780
474	704	778
475	705	776
476	706	775
477	710	776
478	712	774
479	713	772
480	714	771
481	715	769
482	717	767
483	718	765
484	719	764
485	720	762
486	721	760
487	723	759
